DataZone2011Code,DataZone2011Name,CouncilArea2019Name,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01010504,Lochaber West - 01,Highland,580,5,9,3,6,6,5,5,3,3,6,10,4,4,9,5,7,8,5,5,8,1,6,1,3,2,3,2,6,7,8,8,8,2,1,2,0,3,7,11,8,5,1,6,0,3,8,6,4,2,8,10,11,15,11,14,14,14,4,17,13,11,15,8,18,9,9,4,9,4,9,13,16,14,13,2,12,0,5,5,2,8,8,4,2,1,1,1,1,1,0,4
S01010505,Lochaber West - 02,Highland,513,4,4,10,1,4,9,4,1,6,3,8,5,7,4,9,6,8,0,4,1,2,4,6,4,5,3,4,2,6,6,4,1,7,10,3,1,1,3,2,9,5,2,0,5,4,7,6,6,7,9,7,5,6,10,15,10,15,18,8,9,7,11,6,11,3,7,15,7,8,9,8,5,7,3,6,4,5,5,5,4,8,3,8,5,6,4,0,4,0,2,2
S01010506,Lochaber West - 03,Highland,875,5,11,6,8,7,7,11,10,7,15,6,6,6,12,10,14,7,15,6,7,6,2,2,11,3,10,8,3,6,2,9,5,10,10,6,3,12,6,14,7,14,17,4,13,9,13,13,11,13,17,13,19,8,16,16,18,22,17,9,19,19,15,11,15,16,11,13,15,13,6,10,17,9,15,13,6,3,8,9,9,10,10,5,7,4,2,2,2,1,3,4
S01010507,Lochaber West - 04,Highland,662,4,6,8,6,6,7,4,6,2,5,8,10,4,2,9,11,8,10,7,9,4,5,4,9,7,6,12,7,6,8,9,8,5,3,5,9,7,3,1,13,7,10,4,12,12,3,16,5,5,9,15,10,8,8,20,18,9,12,18,9,8,9,8,9,13,10,3,4,16,11,7,12,8,2,6,6,4,4,10,5,2,3,3,2,4,4,4,2,2,1,7
S01010508,Lochaber West - 05,Highland,1091,8,6,7,5,5,7,8,15,3,14,10,11,16,11,22,14,15,17,9,5,8,8,8,9,7,12,9,15,10,7,4,9,9,7,14,3,8,2,15,10,6,12,14,13,19,15,16,8,14,17,24,22,28,16,22,21,21,24,19,13,20,16,13,12,24,19,20,19,12,15,21,6,14,22,12,11,16,13,10,9,5,10,3,9,8,5,6,4,3,5,3
S01010509,Lochaber West - 06,Highland,1032,2,6,9,4,6,11,8,14,7,8,7,15,8,14,14,14,17,13,15,4,19,7,6,19,6,15,8,9,3,8,7,10,10,14,11,12,17,11,16,13,14,6,15,11,9,11,12,17,18,19,20,21,33,27,21,22,11,21,17,16,15,24,18,14,12,18,6,8,7,9,18,18,14,12,17,10,10,3,3,2,6,2,1,1,7,6,0,4,5,1,3
S01010510,Fort William North - 01,Highland,1007,9,5,7,10,12,15,11,16,8,9,12,11,10,17,12,7,11,7,10,3,11,18,12,6,6,13,10,15,7,7,8,8,5,9,8,14,16,11,9,17,17,18,16,14,8,6,7,12,14,12,10,13,10,12,13,11,13,9,12,10,15,10,30,10,11,24,5,13,18,13,7,14,15,13,8,13,15,13,13,5,9,12,9,6,6,6,8,6,7,6,18
S01010511,Fort William North - 02,Highland,874,11,9,8,7,14,14,9,14,20,9,14,19,18,18,15,9,12,19,13,3,18,8,13,17,15,14,10,10,7,11,6,9,7,7,10,10,8,8,17,15,2,8,7,4,13,12,10,12,7,14,11,12,11,11,5,13,12,13,4,10,12,14,13,11,12,11,10,14,8,7,10,2,12,5,6,4,6,3,7,4,1,8,3,6,1,6,2,1,3,1,5
S01010512,Fort William North - 03,Highland,572,7,4,8,9,6,8,8,6,5,8,6,6,3,3,9,12,5,5,4,5,5,9,4,14,7,3,10,6,13,7,8,6,10,11,9,7,4,6,6,1,7,8,1,6,5,8,7,3,7,8,5,8,7,4,10,10,13,7,6,10,8,8,4,10,7,7,6,7,5,2,6,6,7,9,2,4,6,3,7,4,4,3,5,3,2,6,4,0,3,0,11
S01010513,Fort William North - 04,Highland,779,3,4,2,10,4,9,4,15,6,9,7,9,8,9,14,5,10,1,11,9,5,10,11,10,12,8,2,8,4,8,7,12,6,14,7,2,15,6,2,12,10,9,9,7,9,8,15,12,11,9,18,11,9,25,8,22,14,12,9,6,11,10,10,10,8,7,7,9,11,11,9,9,15,5,14,7,15,3,13,7,6,6,3,8,8,2,3,0,0,3,6
S01010514,Fort William North - 05,Highland,680,10,0,7,10,3,21,8,9,9,4,12,1,11,13,12,12,9,13,9,8,5,4,3,6,7,9,7,10,3,8,13,1,18,17,9,4,10,4,12,5,5,5,1,2,10,3,6,10,6,14,15,11,6,15,14,7,14,7,13,11,7,6,13,5,6,9,7,9,8,7,6,6,8,5,4,10,9,6,8,3,6,0,1,3,0,1,2,2,2,1,9
S01010515,Fort William North - 06,Highland,744,9,7,9,5,7,7,14,2,8,4,8,11,11,9,11,12,8,5,7,7,7,2,12,5,3,9,6,12,10,10,15,15,7,4,9,16,7,17,10,6,3,6,8,4,12,3,7,16,5,7,4,17,9,15,13,5,14,18,14,13,3,14,17,10,11,10,11,5,8,12,7,9,8,7,5,4,5,7,9,3,6,7,5,2,5,4,5,3,2,3,1
S01010516,Fort William South - 01,Highland,588,2,2,7,6,3,4,6,1,2,6,3,6,6,1,7,6,5,6,1,4,4,11,7,10,9,4,10,13,15,10,11,4,8,14,3,9,8,6,7,5,1,7,7,7,3,11,1,11,11,10,6,6,4,11,4,11,15,11,5,5,16,7,3,12,12,13,2,6,6,9,10,7,14,7,2,14,6,7,5,2,5,6,0,1,1,3,1,2,3,0,7
S01010517,Fort William South - 02,Highland,780,6,5,10,3,2,4,8,4,14,18,5,6,13,15,5,9,5,6,6,9,8,4,8,22,12,11,15,19,9,19,6,8,9,7,6,13,11,7,15,7,12,7,8,14,10,10,6,7,14,11,16,12,13,20,17,6,11,13,9,16,5,11,14,2,6,17,7,4,10,7,6,8,8,15,4,8,6,3,5,4,5,3,2,3,3,1,3,2,5,2,0
S01010518,Fort William South - 03,Highland,646,2,5,6,9,6,7,4,2,7,8,12,9,11,4,6,5,11,6,8,4,7,20,5,1,14,9,6,11,9,21,12,22,9,9,5,10,11,13,11,10,16,9,12,10,9,12,5,2,5,6,9,8,4,1,7,4,6,10,4,9,12,3,3,5,5,4,11,11,8,2,0,6,19,11,10,3,1,7,4,4,1,2,4,2,4,1,0,1,2,0,5
S01010519,Fort William South - 04,Highland,773,7,6,9,10,10,7,13,13,14,13,15,18,11,13,18,7,19,7,7,18,10,15,19,2,12,10,12,6,11,5,2,6,17,17,8,12,9,9,4,6,12,17,10,7,8,6,10,8,9,11,8,8,12,9,12,16,14,9,4,11,7,7,6,8,9,9,4,9,5,9,5,4,4,5,5,8,5,5,2,4,3,7,5,1,1,1,1,2,0,1,3
S01010520,Fort William South - 05,Highland,842,8,8,7,7,5,9,3,5,5,5,11,6,7,8,13,11,10,9,5,8,14,12,12,14,12,10,11,8,10,12,8,6,9,11,10,12,7,8,11,13,13,7,9,7,17,14,6,19,17,16,21,9,18,10,19,11,13,9,14,12,15,5,6,11,11,13,12,10,5,4,5,7,15,14,6,8,5,6,6,10,6,6,5,4,3,6,1,9,0,4,3
S01010521,Fort William South - 06,Highland,795,10,4,11,6,5,5,5,8,8,10,5,11,11,5,13,7,14,11,10,9,7,7,6,13,9,8,13,12,10,12,15,14,21,12,12,12,4,9,8,13,2,7,13,15,3,5,11,13,16,22,17,15,13,9,12,18,15,12,7,13,5,13,9,9,8,4,1,9,13,6,6,6,8,5,13,5,7,3,2,5,5,8,2,1,6,2,1,1,1,6,2
S01010522,Fort William South - 07,Highland,593,3,9,6,6,10,6,8,5,4,2,4,6,7,6,7,0,6,4,4,11,10,10,10,12,10,8,16,7,14,12,11,5,10,7,7,6,1,7,4,3,2,9,4,5,16,11,11,10,12,6,0,8,12,9,10,8,8,7,8,8,7,18,3,2,0,3,4,6,8,3,4,2,4,8,2,2,3,1,9,2,5,1,8,5,4,12,4,6,2,5,2
S01010523,Fort William South - 08,Highland,548,5,2,14,12,11,5,9,8,4,10,13,13,8,8,4,8,7,10,10,5,6,6,5,17,7,13,2,8,6,10,6,7,8,3,10,8,5,9,6,5,13,13,6,7,6,9,2,8,8,4,5,8,5,6,4,4,2,9,8,3,6,6,8,11,6,4,7,0,1,5,3,4,3,6,4,2,8,2,4,2,2,1,3,0,2,2,0,0,1,1,1
S01010524,Lochaber East and North - 01,Highland,518,2,6,3,7,3,6,5,4,3,5,3,3,8,6,4,2,4,5,3,2,2,1,3,6,6,3,2,5,7,4,8,2,7,4,5,8,8,1,2,4,4,4,6,5,7,2,7,9,9,5,5,8,7,10,10,11,6,8,13,7,26,11,8,7,11,5,10,10,6,9,7,10,11,13,6,11,9,4,2,2,3,3,4,2,5,3,1,2,0,1,1
S01010525,Lochaber East and North - 02,Highland,644,7,4,2,5,2,6,4,1,1,7,1,10,5,6,10,6,15,11,6,7,5,2,7,2,5,6,8,6,8,5,12,1,2,5,5,12,6,2,7,6,6,3,1,3,7,3,9,11,17,9,6,8,12,14,13,15,12,14,11,21,11,8,12,13,19,5,13,10,4,8,6,7,8,16,6,4,8,10,4,6,4,7,7,3,5,7,1,2,1,3,3
S01010526,Lochaber East and North - 03,Highland,770,9,10,5,8,7,8,11,7,10,8,8,8,6,9,7,8,6,4,11,7,7,5,7,1,6,6,0,4,10,6,4,7,9,5,2,11,4,12,13,11,9,14,5,8,14,8,11,12,9,9,19,8,12,14,13,9,12,7,14,9,11,16,11,11,4,8,12,12,16,10,7,13,10,16,4,12,5,1,8,2,8,6,5,7,4,7,3,6,2,8,22
S01010527,Lochaber East and North - 04,Highland,761,4,10,5,8,9,5,2,6,6,5,13,14,11,10,1,5,7,10,1,6,1,6,3,2,12,3,9,0,8,6,6,6,8,5,9,4,15,10,16,10,6,15,11,8,6,5,1,5,11,20,11,14,11,12,15,13,14,16,13,23,14,4,14,11,10,12,12,15,13,9,16,11,8,10,14,12,5,4,7,5,8,7,2,7,3,4,2,6,4,2,3
S01010528,Lochaber East and North - 05,Highland,636,9,3,5,7,9,6,11,7,6,2,14,6,7,10,5,5,15,13,3,3,5,5,3,12,3,4,5,5,9,10,4,4,7,6,8,5,12,12,9,6,8,9,7,10,1,8,11,9,10,11,9,7,10,7,6,12,21,18,10,18,8,14,5,7,5,2,11,10,7,12,8,4,6,6,11,1,4,1,1,3,9,1,0,1,2,1,2,3,5,2,2
S01010529,Lochaber East and North - 06,Highland,706,6,6,6,7,8,7,5,7,10,6,15,2,6,8,13,7,6,10,5,4,4,7,6,3,5,7,2,6,4,0,4,7,6,4,10,8,2,12,9,16,5,10,11,13,9,10,8,11,8,10,11,11,11,7,5,9,16,18,13,17,21,11,7,9,7,5,7,9,6,12,14,11,12,12,6,7,8,3,6,3,10,5,6,5,4,8,2,3,3,1,4
S01010530,Lochaber East and North - 07,Highland,674,3,1,3,7,2,3,5,7,10,5,8,8,8,8,3,10,7,5,2,5,6,5,6,7,1,6,7,4,1,2,6,5,6,8,10,5,4,11,5,7,9,4,10,6,16,12,10,6,5,14,15,11,8,11,6,19,13,11,9,10,12,12,8,9,16,15,5,12,10,15,11,9,18,13,7,4,13,6,4,5,8,4,3,1,3,9,3,2,1,4,5
S01010531,Badenoch and Strathspey South - 01,Highland,1111,6,9,6,16,5,19,8,9,10,7,10,17,11,15,15,10,9,14,8,9,9,11,8,14,6,6,9,11,7,14,4,9,13,3,11,19,13,12,9,6,15,8,8,15,12,10,15,19,12,21,13,16,18,14,18,24,7,21,17,16,12,20,24,17,13,14,22,18,22,21,19,21,23,16,17,10,17,11,16,7,12,4,7,6,4,4,3,5,6,4,10
S01010532,Badenoch and Strathspey South - 02,Highland,548,1,2,2,3,0,1,4,4,5,8,9,3,6,6,5,6,9,5,3,3,8,1,5,9,3,9,4,8,3,2,10,6,3,3,8,2,2,7,8,4,5,1,8,5,2,4,7,5,7,5,13,14,12,8,7,5,11,8,4,13,14,12,13,14,10,8,11,10,8,6,10,11,8,8,4,6,9,3,3,4,4,6,2,13,5,0,6,3,1,0,2
S01010533,Badenoch and Strathspey South - 03,Highland,572,4,1,3,1,5,1,4,1,4,2,1,1,5,2,6,4,5,6,6,0,12,0,9,2,4,5,10,3,8,9,8,7,4,5,4,9,13,10,10,3,10,2,3,6,6,2,9,11,5,6,5,8,9,5,6,10,13,10,18,7,8,18,7,8,10,6,10,3,1,14,6,5,12,16,2,8,10,12,2,6,9,3,7,4,3,4,6,6,2,5,11
S01010534,Badenoch and Strathspey South - 04,Highland,892,4,10,4,13,8,6,5,10,9,15,6,17,8,12,7,17,15,8,12,9,9,4,9,15,2,6,7,12,7,9,7,8,3,8,15,12,7,6,13,7,12,13,10,6,7,13,9,15,19,17,17,23,16,13,13,15,14,7,21,21,16,11,10,14,12,9,16,13,13,13,13,9,9,15,6,10,9,8,7,4,4,6,0,9,0,1,5,3,0,0,5
S01010535,Badenoch and Strathspey South - 05,Highland,704,4,3,2,7,3,6,7,6,10,10,10,6,5,11,9,6,8,11,9,2,11,1,3,12,16,4,2,1,2,10,7,9,6,7,2,5,8,6,4,5,5,5,8,8,7,7,10,15,8,8,13,19,15,13,8,14,11,12,15,10,20,8,12,10,13,10,9,13,8,4,10,13,12,8,9,5,6,8,7,8,6,7,3,3,8,2,0,5,2,1,7
S01010536,Badenoch and Strathspey Central - 01,Highland,828,7,7,8,4,4,6,14,9,13,11,5,8,14,13,6,7,7,4,0,7,9,12,9,4,8,6,7,9,5,10,16,15,10,9,8,9,10,15,14,14,14,9,8,8,8,12,10,18,12,15,7,7,13,5,9,12,10,19,14,14,14,7,9,5,11,11,9,9,15,8,9,12,12,15,8,9,6,9,13,7,10,5,8,5,5,4,4,2,0,3,7
S01010537,Badenoch and Strathspey Central - 02,Highland,718,4,4,7,3,4,4,8,8,3,4,4,2,4,2,2,7,1,5,1,6,6,3,8,11,13,9,12,21,20,8,15,13,12,23,13,13,15,5,8,7,5,4,4,12,8,4,10,3,16,15,16,8,10,9,10,19,13,3,15,17,6,9,9,13,13,9,9,10,11,2,8,7,8,5,7,5,10,7,6,2,8,10,7,2,1,1,3,4,1,3,3
S01010538,Badenoch and Strathspey Central - 03,Highland,1121,12,13,12,19,12,18,18,11,13,16,20,14,17,20,20,17,23,21,9,10,13,16,12,11,2,14,11,17,6,9,7,15,18,20,9,26,7,17,25,25,23,15,29,22,21,29,11,8,22,21,13,13,23,10,15,11,16,11,13,11,12,6,14,10,13,16,20,9,10,9,7,5,10,8,5,7,4,5,0,3,4,1,2,0,2,0,0,2,1,0,4
S01010539,Badenoch and Strathspey Central - 04,Highland,1086,2,12,7,3,9,6,14,6,8,11,11,4,10,2,14,11,10,5,12,7,4,4,6,15,12,15,6,11,19,13,21,17,25,8,23,20,23,10,20,21,15,17,6,15,17,8,23,16,18,17,17,24,14,20,13,11,23,8,18,23,17,7,16,17,10,11,17,18,18,7,18,21,12,18,8,13,13,11,7,4,5,8,6,3,4,3,2,1,0,1,10
S01010540,Badenoch and Strathspey Central - 05,Highland,633,4,4,6,8,4,4,1,3,5,3,6,5,3,3,5,4,5,3,6,7,4,6,5,6,4,8,6,11,6,2,1,7,12,2,10,13,10,6,2,2,11,4,10,3,11,11,0,6,9,9,5,17,8,7,11,17,11,13,8,8,11,18,6,13,10,13,7,13,3,15,6,10,17,14,10,8,7,7,4,11,4,4,0,2,3,2,3,3,8,4,6
S01010541,Badenoch and Strathspey Central - 06,Highland,875,5,8,6,11,11,8,6,8,5,9,6,13,13,5,6,6,10,6,8,7,11,5,5,8,16,4,7,6,0,2,4,8,6,14,8,14,10,5,11,13,11,11,11,10,9,24,13,12,13,19,12,11,10,19,13,7,10,21,12,19,11,16,10,12,13,5,19,12,15,23,15,14,23,11,10,7,15,14,3,8,3,4,5,4,4,2,4,6,1,2,3
S01010542,Badenoch and Strathspey North - 01,Highland,951,6,6,11,6,9,5,6,6,7,3,9,8,13,8,12,13,12,7,5,11,13,9,11,10,2,4,11,11,5,14,9,11,5,16,9,9,14,18,4,12,8,13,8,6,6,14,14,6,19,14,12,10,8,11,17,19,15,15,14,11,14,15,15,17,15,19,17,15,14,29,16,16,22,19,16,21,18,11,3,5,6,6,5,2,3,3,3,0,2,2,2
S01010543,Badenoch and Strathspey North - 02,Highland,674,3,3,6,4,6,10,2,8,3,6,4,5,8,12,3,6,4,4,8,4,4,3,3,3,7,7,0,7,3,6,5,5,6,3,6,10,4,8,6,7,5,4,3,4,7,7,8,4,6,15,9,14,10,16,9,3,14,10,19,13,22,11,18,8,6,7,14,11,10,8,12,9,13,9,9,8,5,11,8,8,4,7,9,3,5,7,8,3,3,3,23
S01010544,Badenoch and Strathspey North - 03,Highland,852,8,3,9,12,14,2,17,10,8,12,15,14,17,9,8,12,13,10,11,6,8,14,6,9,8,4,7,13,5,17,3,14,8,1,0,3,12,3,6,11,12,10,10,9,11,14,18,11,8,18,10,14,13,14,8,20,13,16,13,18,5,9,13,7,9,15,14,8,17,6,7,16,12,19,5,9,14,5,4,8,1,1,3,4,3,2,3,4,1,3,3
S01010545,Badenoch and Strathspey North - 04,Highland,757,4,9,5,6,6,9,3,13,2,5,3,8,12,14,12,11,10,12,7,12,3,6,21,10,9,9,6,9,5,5,3,10,9,2,10,5,5,8,8,10,10,7,14,9,1,6,17,13,14,16,10,13,12,13,14,13,6,10,6,6,10,3,12,17,14,9,10,5,7,11,10,8,11,14,3,9,11,13,8,4,4,10,2,5,7,3,1,2,4,1,3
S01010546,Badenoch and Strathspey North - 05,Highland,828,4,7,5,4,7,10,6,6,4,7,6,9,11,7,12,9,5,2,2,10,5,4,4,5,10,6,7,1,6,11,9,13,13,10,9,14,8,9,12,10,5,13,12,7,9,11,3,11,8,7,14,13,12,10,10,15,16,10,14,6,10,12,9,13,7,13,7,0,11,3,9,14,23,13,10,11,10,11,10,10,5,8,9,5,9,8,13,7,9,5,39
S01010547,Badenoch and Strathspey North - 06,Highland,798,7,4,5,7,5,7,8,4,7,6,12,6,3,5,13,14,12,14,14,3,5,8,2,6,6,4,10,1,6,7,7,2,5,8,6,10,3,9,11,10,12,7,10,3,15,11,13,11,11,14,15,16,15,10,13,15,19,13,12,13,11,15,14,18,15,16,15,13,11,15,17,10,11,12,12,7,6,9,6,2,1,1,4,2,4,3,4,5,2,4,3
S01010548,Nairn Rural - 01,Highland,693,4,3,4,0,6,7,5,1,3,10,5,8,11,6,8,6,4,10,2,4,1,4,3,7,9,6,3,0,5,4,1,4,9,4,5,2,6,8,10,1,4,5,4,7,4,9,9,7,10,8,11,11,10,17,7,6,5,13,12,12,17,17,16,15,13,10,17,8,15,16,9,25,14,16,11,10,16,10,6,11,7,6,8,2,0,7,8,2,5,3,3
S01010549,Nairn Rural - 02,Highland,1686,13,19,21,31,18,33,18,22,29,36,21,26,31,13,19,32,20,20,19,13,11,10,11,11,13,16,19,22,10,19,27,12,20,17,22,19,22,22,33,34,31,21,18,30,24,14,17,23,34,35,24,21,25,28,30,23,15,18,17,18,23,15,14,30,22,23,24,18,17,14,19,19,19,21,14,11,12,17,5,11,2,7,9,4,7,4,5,4,0,3,3
S01010550,Nairn Rural - 03,Highland,522,11,3,2,6,7,4,7,4,6,1,4,4,6,9,7,7,6,5,6,4,6,0,11,2,8,7,6,12,3,6,6,11,8,7,2,4,0,6,7,14,7,9,3,4,5,5,3,6,6,17,8,2,5,10,13,9,5,20,8,8,5,17,6,5,0,8,6,8,6,6,6,8,4,7,4,7,5,4,2,2,2,2,5,1,2,0,1,2,1,2,0
S01010551,Nairn Rural - 04,Highland,816,3,6,6,6,7,6,12,10,16,12,7,14,6,5,10,9,15,1,15,9,10,6,6,8,13,6,0,1,1,3,7,5,10,10,7,7,9,8,9,13,10,6,12,8,16,12,23,13,13,17,17,9,15,23,8,14,16,8,15,18,13,9,17,7,8,10,18,13,18,8,12,12,21,18,1,5,0,7,5,4,4,1,1,6,1,0,0,2,1,2,5
S01010552,Nairn Rural - 05,Highland,743,9,3,7,5,10,5,5,11,7,6,5,9,10,8,6,5,9,13,8,13,3,13,7,4,3,8,5,3,4,6,2,4,6,5,2,6,4,2,12,6,5,9,8,6,2,5,7,15,17,15,16,7,20,15,25,15,17,20,15,16,16,7,18,13,21,9,12,13,9,11,5,9,10,10,6,11,7,7,5,2,2,5,5,6,4,3,1,0,1,1,0
S01010553,Nairn Rural - 06,Highland,591,1,6,2,2,1,5,4,8,1,2,1,8,5,2,5,1,6,9,5,4,7,6,4,3,7,3,6,3,6,6,11,5,11,6,5,3,3,2,4,5,9,5,5,8,4,5,5,3,11,7,5,6,12,10,18,21,14,10,12,17,8,15,17,6,12,5,13,10,13,14,8,10,11,18,4,8,2,6,7,3,1,5,4,5,3,2,2,0,1,0,7
S01010554,Nairn East - 01,Highland,715,2,2,4,2,4,5,5,8,3,3,7,19,6,11,8,7,13,6,13,5,7,1,6,6,5,4,10,10,8,6,8,2,8,12,7,5,6,9,7,1,9,9,6,12,13,8,4,18,9,10,16,11,14,14,17,10,12,17,12,12,6,4,12,13,12,5,8,11,7,13,11,18,3,6,8,9,6,8,6,6,6,5,7,8,6,5,4,3,1,0,4
S01010555,Nairn East - 02,Highland,875,12,6,9,5,7,11,10,7,5,7,6,10,4,6,4,9,2,12,15,12,10,7,9,9,6,7,17,23,11,12,9,11,21,8,11,11,28,12,8,11,10,17,4,12,17,14,9,4,19,20,9,16,8,13,12,20,13,8,12,19,11,12,17,10,10,17,17,5,6,6,6,9,16,5,7,6,6,6,2,7,10,2,6,5,1,0,1,5,1,1,6
S01010556,Nairn East - 03,Highland,1001,8,8,10,10,13,12,7,11,15,23,6,14,22,5,16,16,18,10,12,12,13,5,1,20,6,14,17,6,8,7,7,7,2,18,13,8,2,12,8,11,6,6,15,9,15,10,11,5,13,14,21,13,15,15,9,16,19,14,13,12,12,9,11,13,18,11,5,8,6,8,10,12,12,12,8,9,10,7,10,10,9,8,13,12,15,4,6,7,6,5,31
S01010557,Nairn East - 04,Highland,588,6,4,5,9,3,8,4,6,9,7,6,6,4,1,8,3,2,5,2,7,4,10,5,8,12,8,4,5,3,10,10,4,7,8,5,4,10,6,3,6,4,2,2,8,3,11,4,7,7,8,18,10,9,16,7,10,12,12,13,4,3,11,12,4,6,8,4,8,6,8,8,12,9,7,9,1,4,10,7,5,7,6,5,1,2,7,5,0,4,1,4
S01010558,Nairn East - 05,Highland,795,8,4,3,11,8,7,5,3,9,6,4,9,8,7,7,3,9,11,7,16,3,11,10,21,9,4,11,4,6,3,9,4,6,9,3,9,14,4,5,9,9,8,11,4,3,11,7,5,8,17,14,24,16,6,12,13,13,9,15,12,13,13,9,7,14,7,8,14,18,6,5,10,5,10,15,10,20,18,12,12,9,5,7,8,5,1,0,2,4,3,9
S01010559,Nairn West - 01,Highland,865,3,4,1,0,7,3,7,6,7,5,8,5,6,16,9,9,2,6,3,8,1,12,7,1,6,7,2,7,7,4,6,7,5,1,4,8,8,5,3,5,7,10,7,2,5,7,7,16,18,18,8,8,13,12,15,24,5,18,19,23,13,14,13,14,19,15,13,9,11,15,15,16,18,8,11,16,13,11,12,7,7,7,11,7,7,9,10,9,11,10,51
S01010560,Nairn West - 02,Highland,645,4,3,3,4,3,5,11,5,3,2,8,5,2,7,2,8,4,8,6,8,5,5,6,5,16,3,9,3,6,8,0,3,8,6,5,6,9,3,3,7,4,4,4,9,3,4,4,13,17,7,14,14,8,6,6,10,11,16,7,10,9,13,12,13,13,12,9,12,7,15,9,8,10,8,7,5,18,6,11,5,11,11,2,4,4,8,2,4,1,0,8
S01010561,Nairn West - 03,Highland,688,3,5,5,6,6,7,2,5,5,8,4,3,5,8,7,6,6,4,3,6,7,4,6,7,5,5,3,2,5,6,3,4,3,6,6,4,13,9,1,9,4,4,10,6,11,3,6,10,6,5,5,11,14,14,11,9,9,10,9,8,5,7,13,12,15,10,17,12,17,20,12,13,15,15,6,11,9,12,4,3,8,7,3,6,8,6,4,5,5,9,22
S01010562,Nairn West - 04,Highland,712,4,8,8,1,1,11,1,3,3,6,9,7,6,3,8,9,6,11,2,5,4,9,13,5,11,4,10,2,7,5,11,4,9,2,10,4,13,3,6,11,7,10,9,2,13,10,8,12,8,6,6,7,11,9,13,8,8,16,14,16,14,14,18,12,16,12,11,17,12,10,5,10,12,16,9,4,11,8,5,5,11,7,4,1,1,7,4,3,3,1,1
